Id,Entry,Date,UserID
493,"*moving from screen","2019-05-29 17:20:29.403509",1
494,?commands,"2019-05-29 17:20:30.719743",3
495,w,"2019-05-29 17:20:34.130962",1
496,w,"2019-05-29 17:20:34.898230",3
497,bw,"2019-05-29 17:20:42.275752",1
498,?commands,"2019-05-29 17:20:58.917332",1
499,bp,"2019-05-29 17:21:12.587604",1
500,t,"2019-05-29 17:21:16.657995",1
501,y,"2019-05-29 17:21:19.127012",1
502,"did'nt know i buy white","2019-05-29 17:21:23.780485",3
503,*walking,"2019-05-29 17:21:35.264460",3
504,*sitting,"2019-05-29 17:21:49.331269",3
505,"We kept buying the bots that i","2019-05-29 17:21:50.959708",1
506,bj,"2019-05-29 17:21:56.725072",1
507,*blinking,"2019-05-29 17:22:10.911710",1
508,*starring,"2019-05-29 17:22:13.808052",1
509,*blinking,"2019-05-29 17:22:29.471656",3
510,?mybots,"2019-05-29 17:22:44.939318",3
511,bc,"2019-05-29 17:23:00.610281",3
512,bb,"2019-05-29 17:23:03.173079",1
513,y,"2019-05-29 17:23:07.504151",1
514,g,"2019-05-29 17:23:10.827255",3
515,w,"2019-05-29 17:23:22.080213",1
516,w,"2019-05-29 17:23:27.277610",3
517,o,"2019-05-29 17:23:35.077117",1
518,o,"2019-05-29 17:23:37.558878",3
519,y,"2019-05-29 17:23:47.510988",1
520,y,"2019-05-29 17:23:51.685586",3
521,"We almost had Yellow to dodge ","2019-05-29 17:23:58.554451",1
522,j,"2019-05-29 17:24:00.975437",1
523,bj,"2019-05-29 17:24:18.161556",1
524,*turning,"2019-05-29 17:24:25.603137",3
525,o,"2019-05-29 17:24:29.552663",1
526,*turning,"2019-05-29 17:24:33.914559",1
527,"he got it, almost","2019-05-29 17:24:38.715000",3
528,"We see evolution happening","2019-05-29 17:24:49.847628",1
529,r,"2019-05-29 17:25:03.280751",1
530,"yeah they get better","2019-05-29 17:25:06.286567",3
531,?mission,"2019-05-29 17:25:20.203054",1
532,s,"2019-05-29 17:25:24.284537",1
533,p,"2019-05-29 17:25:26.283567",3
534,hard,"2019-05-29 17:25:41.894262",3
535,y,"2019-05-29 17:25:42.063426",1
536,y,"2019-05-29 17:25:45.870747",3
537,o,"2019-05-29 17:25:53.781163",1
538,bo,"2019-05-29 17:26:15.371403",1
539,*launch,"2019-05-29 17:26:15.689652",3
540,w,"2019-05-29 17:26:21.374237",1
541,best,"2019-05-29 17:26:35.844335",3
542,o,"2019-05-29 17:27:02.385580",1
543,bp,"2019-05-29 17:27:26.807138",1
544,b,"2019-05-29 17:27:28.681565",1
545,b,"2019-05-29 17:27:32.849284",3
546,w,"2019-05-29 17:27:43.252818",1
547,w,"2019-05-29 17:27:50.376456",3
548,y,"2019-05-29 17:28:01.721634",1
549,y,"2019-05-29 17:28:05.279955",3
550,anything,"2019-05-29 17:28:12.542729",1
551,*taunting,"2019-05-29 17:28:29.621265",1
